exam_type,subject,year,region,data_type,grade_system,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,u,pass_rate,pass_threshold,candidates
A-Level,Accounting,2025,UK,Exam,A*-U,1.9,11.8,22.8,24.1,20.2,13.0,,,,,6.2,93.8,A*-E,2361
A-Level,Accounting,2024,UK,Exam,A*-U,1.5,12.4,18.4,24.8,24.2,12.8,,,,,5.9,94.1,A*-E,2456
A-Level,Art and Design,2025,UK,Exam,A*-U,15.9,19.4,31.6,21.5,8.2,2.7,,,,,0.6,99.4,A*-E,43124
A-Level,Art and Design,2024,UK,Exam,A*-U,13.9,18.0,31.6,22.4,9.9,3.3,,,,,0.9,99.1,A*-E,43668
A-Level,Art and Design,2023,UK,Exam,A*-U,13.1,18.2,31.3,22.5,10.3,3.6,,,,,1.0,99.0,A*-E,43464
A-Level,Art and Design,2022,UK,Exam,A*-U,18.6,20.1,31.6,20.1,6.9,2.2,,,,,0.5,99.5,A*-E,44690
A-Level,Art and Design,2021,UK,Exam,A*-U,21.5,25.2,28.6,17.8,4.9,1.7,,,,,0.3,99.7,A*-E,42237
A-Level,Art and Design,2020,UK,Teacher,A*-U,17.5,24.0,32.3,19.6,5.3,1.2,,,,,0.1,99.9,A*-E,41846
A-Level,Art and Design,2020,UK,Exam,A*-U,13.0,18.3,31.8,23.2,9.6,3.3,,,,,0.8,99.2,A*-E,41837
A-Level,Art and Design,2019,UK,Exam,A*-U,12.2,15.6,32.5,24.4,10.8,3.5,,,,,1.0,99.0,A*-E,42307
A-Level,Art and Design,2018,UK,Exam,A*-U,12.3,15.4,30.8,24.4,11.6,4.3,,,,,1.2,98.8,A*-E,43034
A-Level,Art and Design,2017,UK,Exam,A*-U,12.3,15.2,30.5,24.4,12.3,4.2,,,,,1.1,98.9,A*-E,43653
A-Level,Art and Design,2016,UK,Exam,A*-U,12.2,15.4,29.2,26.7,12.3,3.5,,,,,0.7,99.3,A*-E,43242
A-Level,Art and Design,2015,UK,Exam,A*-U,11.8,16.4,29.1,25.9,12.6,3.4,,,,,0.8,99.2,A*-E,44864
A-Level,Art and Design,2014,UK,Exam,A*-U,11.5,16.0,29.2,26.2,12.5,3.8,,,,,0.8,99.2,A*-E,44922
A-Level,Art and Design,2013,UK,Exam,A*-U,12.2,16.4,29.2,25.4,12.4,3.5,,,,,0.9,99.1,A*-E,44069
A-Level,Art and Design,2012,UK,Exam,A*-U,13.1,17.1,27.9,24.4,12.4,4.0,,,,,1.1,98.9,A*-E,46483
A-Level,Art and Design,2011,UK,Exam,A*-U,14.2,17.0,26.6,23.4,13.0,4.6,,,,,1.2,98.8,A*-E,45959
A-Level,Art and Design,2010,UK,Exam,A*-U,13.3,18.4,25.7,22.9,12.9,5.2,,,,,1.6,98.4,A*-E,46054
A-Level,Art and Design,2009,UK,Exam,A*-U,,31.6,25.6,22.9,13.0,5.1,,,,,1.8,98.2,A*-E,45839
A-Level,Art and Design,2008,UK,Exam,A*-U,,30.8,24.8,22.8,14.2,5.6,,,,,1.8,98.2,A*-E,44212
A-Level,Art and Design,2007,UK,Exam,A*-U,,30.4,24.4,22.7,14.3,6.1,,,,,2.1,97.9,A*-E,42490
A-Level,Art and Design,2006,UK,Exam,A*-U,,29.6,24.9,23.0,14.1,6.1,,,,,2.3,97.7,A*-E,41989
A-Level,Art and Design,2005,UK,Exam,A*-U,,28.7,24.2,23.3,14.9,6.4,,,,,2.5,97.5,A*-E,40454
A-Level,Art and Design,2004,UK,Exam,A*-U,,27.9,24.2,22.1,15.2,7.5,,,,,3.1,96.9,A*-E,38989
A-Level,Art and Design,2003,UK,Exam,A*-U,,27.8,23.3,22.5,15.6,7.4,,,,,3.4,96.6,A*-E,38314
A-Level,Art and Design,2002,UK,Exam,A*-U,,27.4,22.8,21.3,15.6,8.0,,,,,4.9,95.1,A*-E,35420
A-Level,Art and Design,2001,UK,Exam,A*-U,,26.7,21.4,25.3,16.3,7.6,1.9,,,,0.8,97.3,A*-E,36085
A-Level,Art and Design,2000,UK,Exam,A*-U,,23.9,21.3,24.5,17.0,8.9,3.3,,,,1.1,95.6,A*-E,37609
A-Level,Art and Design,1999,UK,Exam,A*-U,,23.6,21.0,24.0,17.4,9.3,9.3,,,,3.6,95.3,A*-E,37385
A-Level,Art and Design,1998,UK,Exam,A*-U,,23.1,20.6,24.0,17.9,9.9,3.3,,,,1.2,95.5,A*-E,37119
A-Level,Art and Design,1997,UK,Exam,A*-U,,20.8,20.4,24.3,19.2,10.2,3.9,,,,1.2,94.9,A*-E,35289
A-Level,Art and Design,1996,UK,Exam,A*-U,,19.4,20.0,24.0,18.8,11.5,4.8,,,,1.5,93.7,A*-E,33782
A-Level,Art and Design,1995,UK,Exam,A*-U,,18.3,20.0,23.1,19.4,12.1,5.4,,,,1.7,92.9,A*-E,33915
A-Level,Art and Design,1994,UK,Exam,A*-U,,17.6,19.4,22.9,19.6,12.7,5.8,,,,1.9,92.2,A*-E,34749
A-Level,Art and Design,1993,UK,Exam,A*-U,,13.3,18.4,22.6,21.2,15.0,7.0,,,,2.5,90.5,A*-E,34751
A-Level,Biology,2025,UK,Exam,A*-U,9.0,19.0,22.7,21.2,15.4,8.7,,,,,4.1,95.9,A*-E,71400
A-Level,Biology,2024,UK,Exam,A*-U,9.1,18.6,21.2,20.9,15.9,9.8,,,,,4.5,95.5,A*-E,74367
A-Level,Biology,2023,UK,Exam,A*-U,9.0,18.1,21.6,19.9,16.6,10.6,,,,,4.3,95.7,A*-E,74650
A-Level,Biology,2022,UK,Exam,A*-U,13.3,21.6,21.6,19.5,14.2,7.6,,,,,2.2,97.8,A*-E,71979
A-Level,Biology,2021,UK,Exam,A*-U,18.4,26.7,23.9,17.7,9.0,3.8,,,,,0.5,99.5,A*-E,70055
A-Level,Biology,2020,UK,Teacher,A*-U,13.3,24.2,25.1,21.8,11.2,4.1,,,,,0.3,99.7,A*-E,65120
A-Level,Biology,2020,UK,Exam,A*-U,7.6,17.9,21.6,22.9,18.0,9.2,,,,,2.8,97.2,A*-E,65057
A-Level,Biology,2019,UK,Exam,A*-U,7.0,17.1,20.9,22.3,18.5,10.3,,,,,3.9,96.1,A*-E,69196
A-Level,Biology,2018,UK,Exam,A*-U,7.6,18.3,21.6,22.3,17.4,9.4,,,,,3.4,96.6,A*-E,63819
A-Level,Biology,2017,UK,Exam,A*-U,7.9,18.3,22.5,22.1,17.5,8.5,,,,,3.2,96.8,A*-E,61908
A-Level,Biology,2016,UK,Exam,A*-U,9.3,17.8,23.9,21.6,16.1,8.5,,,,,2.8,97.2,A*-E,62650
A-Level,Biology,2015,UK,Exam,A*-U,9.1,18.0,23.5,21.3,16.1,9.4,,,,,2.6,97.4,A*-E,63275
A-Level,Biology,2014,UK,Exam,A*-U,9.4,18.1,23.5,21.0,16.1,9.3,,,,,2.6,97.4,A*-E,64070
A-Level,Biology,2013,UK,Exam,A*-U,8.0,20.3,24.5,20.9,15.3,8.5,,,,,2.5,97.5,A*-E,63939
A-Level,Biology,2012,UK,Exam,A*-U,7.9,20.7,24.2,20.9,15.1,8.5,,,,,2.7,97.3,A*-E,63074
A-Level,Biology,2011,UK,Exam,A*-U,8.8,19.5,23.8,21.2,15.0,8.8,,,,,2.9,97.1,A*-E,62041
A-Level,Biology,2010,UK,Exam,A*-U,8.0,20.5,23.2,20.7,15.2,9.2,,,,,3.2,96.8,A*-E,57854
A-Level,Biology,2009,UK,Exam,A*-U,,27.8,22.5,19.9,15.6,10.2,,,,,4.0,96.0,A*-E,55485
A-Level,Biology,2008,UK,Exam,A*-U,,26.7,22.2,20.3,16.0,10.5,,,,,4.3,95.7,A*-E,56010
A-Level,Biology,2007,UK,Exam,A*-U,,26.2,21.6,19.9,16.4,11.0,,,,,4.9,95.1,A*-E,54563
A-Level,Biology,2006,UK,Exam,A*-U,,24.4,21.6,20.3,16.6,11.5,,,,,5.6,94.4,A*-E,54890
A-Level,Biology,2005,UK,Exam,A*-U,,23.1,21.5,20.4,16.8,12.1,,,,,6.1,93.9,A*-E,53968
A-Level,Biology,2004,UK,Exam,A*-U,,22.4,21.3,20.4,17.0,12.3,,,,,6.6,93.4,A*-E,52264
A-Level,Biology,2003,UK,Exam,A*-U,,21.4,20.7,20.2,17.1,13.2,,,,,7.4,92.6,A*-E,51716
A-Level,Biology,2002,UK,Exam,A*-U,,21.6,19.6,19.7,17.9,13.3,,,,,7.9,92.1,A*-E,52132
A-Level,Biology,2001,UK,Exam,A*-U,,18.8,19.5,19.4,16.6,13.9,7.4,,,,4.4,88.2,A*-E,52647
A-Level,Biology,2000,UK,Exam,A*-U,,17.8,19.7,19.6,17.2,13.5,7.4,,,,4.8,87.8,A*-E,54814
A-Level,Biology,1999,UK,Exam,A*-U,,17.4,19.1,19.4,17.6,13.6,8.0,,,,4.9,87.1,A*-E,56036
A-Level,Biology,1998,UK,Exam,A*-U,,15.9,19.3,19.2,17.5,14.0,8.0,,,,6.1,85.9,A*-E,58457
A-Level,Biology,1997,UK,Exam,A*-U,,14.6,19.6,19.1,17.7,14.6,8.8,,,,5.6,85.6,A*-E,58534
A-Level,Biology,1996,UK,Exam,A*-U,,13.8,18.7,19.2,17.9,14.8,9.3,,,,6.3,84.4,A*-E,51894
A-Level,Biology,1995,UK,Exam,A*-U,,14.3,15.7,17.0,16.9,15.2,10.9,,,,10.0,79.1,A*-E,52255
A-Level,Biology,1994,UK,Exam,A*-U,,13.8,15.4,16.9,17.1,15.9,10.8,,,,10.0,79.1,A*-E,50851
A-Level,Biology,1993,UK,Exam,A*-U,,13.0,15.4,15.8,17.2,16.0,11.5,,,,11.1,77.4,A*-E,47748
A-Level,Business Studies,2025,UK,Exam,A*-U,4.3,12.3,31.7,28.6,15.4,5.6,,,,,2.1,97.9,A*-E,45235
A-Level,Business Studies,2024,UK,Exam,A*-U,4.1,12.1,29.5,28.8,16.9,6.3,,,,,2.3,97.7,A*-E,44961
A-Level,Business Studies,2023,UK,Exam,A*-U,4.1,12.1,30.5,28.3,16.3,6.3,,,,,2.4,97.6,A*-E,44852
A-Level,Business Studies,2022,UK,Exam,A*-U,7.4,17.8,34.6,23.8,11.1,4.0,,,,,1.3,98.7,A*-E,42461
A-Level,Business Studies,2021,UK,Exam,A*-U,10.2,22.2,30.5,23.9,9.4,3.3,,,,,0.5,99.5,A*-E,38546
A-Level,Business Studies,2020,UK,Teacher,A*-U,6.7,19.0,32.0,28.4,10.9,2.7,,,,,0.3,99.7,A*-E,36188
A-Level,Business Studies,2020,UK,Exam,A*-U,3.5,12.3,29.7,30.2,17.0,5.8,,,,,1.5,98.5,A*-E,36181
A-Level,Business Studies,2019,UK,Exam,A*-U,3.3,11.5,29.0,30.0,17.5,6.4,,,,,2.3,97.7,A*-E,33925
A-Level,Business Studies,2018,UK,Exam,A*-U,3.4,11.8,29.9,29.7,17.0,6.2,,,,,2.0,98.0,A*-E,32867
A-Level,Business Studies,2017,UK,Exam,A*-U,3.4,11.8,29.1,30.4,17.3,6.1,,,,,1.9,98.1,A*-E,30023
A-Level,Business Studies,2016,UK,Exam,A*-U,3.2,11.2,27.9,30.4,18.3,6.9,,,,,2.1,97.9,A*-E,28208
A-Level,Business Studies,2015,UK,Exam,A*-U,3.4,11.1,27.2,29.9,19.1,7.1,,,,,2.2,97.8,A*-E,27362
A-Level,Business Studies,2014,UK,Exam,A*-U,3.6,11.0,27.0,29.9,18.8,7.5,,,,,2.2,97.8,A*-E,26745
A-Level,Business Studies,2013,UK,Exam,A*-U,3.0,11.9,28.1,30.5,18.1,6.6,,,,,1.8,98.2,A*-E,27673
A-Level,Business Studies,2012,UK,Exam,A*-U,3.3,12.2,27.8,29.5,18.5,6.8,,,,,1.9,98.1,A*-E,28567
A-Level,Business Studies,2011,UK,Exam,A*-U,3.8,12.6,27.1,29.3,18.5,6.8,,,,,1.9,98.1,A*-E,29748
A-Level,Business Studies,2010,UK,Exam,A*-U,3.7,13.1,26.9,28.8,18.6,7.0,,,,,1.9,98.1,A*-E,31503
A-Level,Business Studies,2009,UK,Exam,A*-U,,18.8,27.9,28.0,17.1,6.6,,,,,1.6,98.4,A*-E,31674
A-Level,Business Studies,2008,UK,Exam,A*-U,,17.9,27.7,28.3,18.0,6.5,,,,,1.6,98.4,A*-E,31025
A-Level,Business Studies,2007,UK,Exam,A*-U,,18.0,27.3,27.6,17.7,7.4,,,,,2.0,98.0,A*-E,30193
A-Level,Business Studies,2006,UK,Exam,A*-U,,16.7,25.9,28.0,18.8,8.3,,,,,2.3,97.7,A*-E,30648
A-Level,Business Studies,2005,UK,Exam,A*-U,,15.0,25.6,27.9,20.4,8.5,,,,,2.6,97.4,A*-E,30719
A-Level,Business Studies,2004,UK,Exam,A*-U,,14.1,24.2,27.5,21.4,9.9,,,,,2.9,97.1,A*-E,32253
A-Level,Business Studies,2003,UK,Exam,A*-U,,12.5,23.3,27.3,22.1,11.2,,,,,3.6,96.4,A*-E,33133
A-Level,Business Studies,2002,UK,Exam,A*-U,,11.4,21.9,27.8,22.2,12.4,,,,,4.3,95.7,A*-E,27680
A-Level,Business Studies,2001,UK,Exam,A*-U,,10.6,20.1,25.7,20.9,12.5,6.5,,,,3.7,89.8,A*-E,36834
A-Level,Business Studies,2000,UK,Exam,A*-U,,9.7,19.0,24.9,21.2,13.5,6.9,,,,4.8,88.3,A*-E,38226
A-Level,Business Studies,1999,UK,Exam,A*-U,,9.0,19.3,24.4,20.5,13.5,7.8,,,,5.5,86.7,A*-E,37926
A-Level,Business Studies,1998,UK,Exam,A*-U,,8.2,19.1,24.1,20.6,14.0,8.1,,,,5.9,86.0,A*-E,37008
A-Level,Business Studies,1997,UK,Exam,A*-U,,7.6,19.1,23.5,21.2,14.8,8.7,,,,5.1,86.2,A*-E,33359
A-Level,Business Studies,1996,UK,Exam,A*-U,,7.7,15.4,21.4,21.1,16.6,9.1,,,,8.7,82.2,A*-E,29100
A-Level,Business Studies,1995,UK,Exam,A*-U,,7.2,15.3,20.7,21.7,16.6,9.3,,,,9.2,81.5,A*-E,26980
A-Level,Business Studies,1994,UK,Exam,A*-U,,6.7,15.0,19.6,21.4,17.7,10.4,,,,9.2,80.3,A*-E,25515
A-Level,Business Studies,1993,UK,Exam,A*-U,,6.0,14.6,18.9,22.1,18.5,10.3,,,,9.6,80.1,A*-E,22678
A-Level,Chemistry,2025,UK,Exam,A*-U,9.5,23.1,23.0,18.3,13.4,8.4,,,,,4.3,95.7,A*-E,63538
A-Level,Chemistry,2024,UK,Exam,A*-U,9.8,22.9,22.8,18.0,13.3,8.8,,,,,4.4,95.6,A*-E,62583
A-Level,Chemistry,2023,UK,Exam,A*-U,9.6,22.6,21.6,17.8,14.4,9.8,,,,,4.1,95.9,A*-E,61284
A-Level,Chemistry,2022,UK,Exam,A*-U,14.3,25.1,20.1,16.8,13.0,8.2,,,,,2.5,97.5,A*-E,58881
A-Level,Chemistry,2021,UK,Exam,A*-U,19.6,29.0,22.1,15.7,8.5,4.4,,,,,0.7,99.3,A*-E,59978
A-Level,Chemistry,2020,UK,Teacher,A*-U,14.8,28.1,24.8,18.9,9.4,3.7,,,,,0.3,99.7,A*-E,56100
A-Level,Chemistry,2020,UK,Exam,A*-U,8.6,22.6,23.6,20.6,14.4,7.5,,,,,2.7,97.3,A*-E,56026
A-Level,Chemistry,2019,UK,Exam,A*-U,7.6,21.5,23.2,19.9,15.0,8.9,,,,,3.9,96.1,A*-E,59090
A-Level,Chemistry,2018,UK,Exam,A*-U,8.4,22.7,23.3,19.9,14.5,7.8,,,,,3.4,96.6,A*-E,54134
A-Level,Chemistry,2017,UK,Exam,A*-U,8.6,23.1,24.1,19.8,14.1,7.3,,,,,3.0,97.0,A*-E,52331
A-Level,Chemistry,2016,UK,Exam,A*-U,8.4,23.5,26.3,18.7,12.9,7.3,,,,,2.7,97.3,A*-E,51811
A-Level,Chemistry,2015,UK,Exam,A*-U,9.4,23.0,26.3,19.5,12.8,6.9,,,,,2.1,97.9,A*-E,52644
A-Level,Chemistry,2014,UK,Exam,A*-U,9.1,23.5,26.4,19.0,12.6,7.1,,,,,2.3,97.7,A*-E,53513
A-Level,Chemistry,2013,UK,Exam,A*-U,8.3,25.3,27.1,18.8,11.9,6.4,,,,,2.2,97.8,A*-E,51818
A-Level,Chemistry,2012,UK,Exam,A*-U,8.8,25.6,26.3,18.4,11.9,6.7,,,,,2.3,97.7,A*-E,49234
A-Level,Chemistry,2011,UK,Exam,A*-U,9.4,24.9,25.2,18.7,12.4,6.9,,,,,2.5,97.5,A*-E,48082
A-Level,Chemistry,2010,UK,Exam,A*-U,9.2,25.4,24.5,18.1,12.3,7.6,,,,,2.9,97.1,A*-E,44501
A-Level,Chemistry,2009,UK,Exam,A*-U,,34.4,24.0,17.8,12.4,7.9,,,,,3.5,96.5,A*-E,42491
A-Level,Chemistry,2008,UK,Exam,A*-U,,33.7,24.5,18.1,12.6,7.6,,,,,3.5,96.5,A*-E,41680
A-Level,Chemistry,2007,UK,Exam,A*-U,,32.4,24.2,18.6,13.2,8.0,,,,,3.6,96.4,A*-E,40285
A-Level,Chemistry,2006,UK,Exam,A*-U,,31.3,24.1,18.8,13.4,8.5,,,,,3.9,96.1,A*-E,40064
A-Level,Chemistry,2005,UK,Exam,A*-U,,29.5,24.6,19.0,13.8,8.7,,,,,4.4,95.6,A*-E,38851
A-Level,Chemistry,2004,UK,Exam,A*-U,,29.9,24.1,19.0,13.8,9.0,,,,,4.2,95.8,A*-E,37254
A-Level,Chemistry,2003,UK,Exam,A*-U,,28.8,23.9,18.9,14.1,9.4,,,,,4.9,95.1,A*-E,36110
A-Level,Chemistry,2002,UK,Exam,A*-U,,28.4,23.1,19.1,14.4,9.7,,,,,5.3,94.7,A*-E,36648
A-Level,Chemistry,2001,UK,Exam,A*-U,,26.7,21.8,18.5,14.2,10.3,5.6,,,,2.9,91.5,A*-E,38602
A-Level,Chemistry,2000,UK,Exam,A*-U,,25.6,22.1,18.5,14.6,10.1,5.8,,,,3.3,90.9,A*-E,40856
A-Level,Chemistry,1999,UK,Exam,A*-U,,24.5,21.6,18.8,14.8,10.6,6.0,,,,3.7,90.3,A*-E,41727
A-Level,Chemistry,1998,UK,Exam,A*-U,,23.0,21.2,18.6,14.7,11.1,6.9,,,,4.5,88.6,A*-E,43030
A-Level,Chemistry,1997,UK,Exam,A*-U,,20.7,21.6,18.3,14.9,12.0,7.4,,,,5.1,87.5,A*-E,42458
A-Level,Chemistry,1996,UK,Exam,A*-U,,19.8,20.9,18.4,15.0,12.0,8.0,,,,5.9,86.1,A*-E,40455
A-Level,Chemistry,1995,UK,Exam,A*-U,,19.3,17.7,16.8,15.6,13.0,9.3,,,,8.3,82.4,A*-E,42293
A-Level,Chemistry,1994,UK,Exam,A*-U,,18.1,18.5,16.3,14.8,13.2,9.5,,,,9.5,81.0,A*-E,41231
A-Level,Chemistry,1993,UK,Exam,A*-U,,16.8,18.3,16.0,15.6,13.2,9.8,,,,10.3,79.9,A*-E,40975
A-Level,Classical Subjects,2025,UK,Exam,A*-U,9.8,24.3,30.8,20.9,10.4,2.8,,,,,0.9,99.1,A*-E,6422
A-Level,Classical Subjects,2024,UK,Exam,A*-U,9.9,23.9,30.7,21.6,9.4,3.4,,,,,1.1,98.9,A*-E,6522
A-Level,Classical Subjects,2023,UK,Exam,A*-U,10.1,24.5,30.6,21.0,9.3,3.4,,,,,1.1,98.9,A*-E,6023
A-Level,Classical Subjects,2022,UK,Exam,A*-U,24.5,27.1,25.3,14.7,5.9,1.9,,,,,0.6,99.4,A*-E,4959
A-Level,Classical Subjects,2021,UK,Exam,A*-U,31.0,29.2,22.5,12.5,3.8,0.7,,,,,0.3,99.7,A*-E,4735
A-Level,Classical Subjects,2020,UK,Teacher,A*-U,21.4,31.4,26.5,15.1,4.4,1.2,,,,,0.0,100.0,A*-E,4777
A-Level,Classical Subjects,2020,UK,Exam,A*-U,16.7,27.7,28.2,18.2,6.8,1.9,,,,,0.5,99.5,A*-E,4777
A-Level,Classical Subjects,2019,UK,Exam,A*-U,9.0,25.0,30.5,22.0,9.9,2.8,,,,,0.8,99.2,A*-E,5148
A-Level,Classical Subjects,2018,UK,Exam,A*-U,9.1,26.2,29.4,21.7,9.2,3.3,,,,,1.1,98.9,A*-E,5657
A-Level,Classical Subjects,2017,UK,Exam,A*-U,9.5,25.4,30.1,21.2,9.9,3.0,,,,,0.9,99.1,A*-E,6430
A-Level,Classical Subjects,2016,UK,Exam,A*-U,8.6,24.1,30.6,22.1,10.3,3.4,,,,,0.9,99.1,A*-E,6581
A-Level,Classical Subjects,2015,UK,Exam,A*-U,10.0,24.8,30.4,20.2,10.1,3.4,,,,,1.1,98.9,A*-E,6633
A-Level,Classical Subjects,2014,UK,Exam,A*-U,10.1,25.9,28.6,20.7,10.1,3.6,,,,,1.0,99.0,A*-E,6615
A-Level,Classical Subjects,2013,UK,Exam,A*-U,10.3,26.0,29.0,20.1,9.7,3.9,,,,,1.0,99.0,A*-E,6443
A-Level,Classical Subjects,2012,UK,Exam,A*-U,10.7,26.4,29.1,19.7,10.2,3.0,,,,,0.9,99.1,A*-E,6635
A-Level,Classical Subjects,2011,UK,Exam,A*-U,10.8,28.2,28.1,19.4,9.6,2.9,,,,,1.0,99.0,A*-E,6175
